student,pre1,pre2,pre3,pre4,post11,post12,post13,post14,post21,post22,post23,post24,group
1,3,2,5,5,1,2,2,5,1,2,5,5,cont-nat
2,1,2,2,5,1,2,2,2,1,2,2,5,cont-nat
3,1,2,1,5,1,2,2,5,1,2,2,5,cont-nat
4,1,2,1,5,1,2,1,5,1,2,2,5,cont-nat
5,3,2,2,2,3,2,2,5,1,5,2,5,cont-nat
6,3,2,2,5,1,2,2,5,1,2,2,5,cont-nat
7,1,1,2,5,1,2,4,5,1,2,2,5,cont-nat
8,3,2,5,5,1,2,2,5,1,2,2,5,cont-nat
9,3,2,5,5,1,2,2,5,1,2,5,2,cont-nat
10,1,2,2,5,1,5,2,5,1,2,2,5,cont-nat
11,3,2,2,5,1,2,2,5,1,2,2,5,cont-nat
12,1,1,2,5,1,2,1,5,1,2,1,5,cont-nat
13,1,2,1,2,1,2,2,5,1,2,2,5,cont-nat
14,3,2,5,5,1,2,2,5,1,2,2,5,cont-nat
15,3,2,2,5,1,2,2,4,1,2,2,5,cont-nat
16,3,2,5,5,1,4,4,5,1,2,2,4,cont-nat
17,1,2,2,5,1,2,2,5,1,1,2,5,cont-nat
18,1,2,5,5,1,2,5,5,1,1,2,5,cont-nat
19,3,2,5,2,1,2,2,5,1,2,2,5,cont-nat
20,3,2,5,5,1,2,2,5,1,2,2,5,cont-nat
21,1,2,5,5,1,2,2,5,1,2,2,5,cont-nat
22,3,5,2,5,1,2,2,5,1,2,1,5,cont-nat
23,1,2,5,5,1,2,5,5,1,2,5,2,cont-nat
24,3,2,1,5,1,2,2,5,1,1,2,5,cont-nat
25,3,2,5,5,1,2,2,5,1,2,2,5,cont-nat
26,3,2,2,5,1,2,2,5,1,2,2,5,cont-nat
27,1,5,5,5,1,2,4,5,1,1,2,5,cont-int
28,1,5,5,5,1,5,5,5,1,1,2,5,cont-int
29,1,2,2,2,1,2,2,5,1,1,2,5,cont-int
30,1,1,2,2,1,5,2,5,1,1,2,5,cont-int
31,1,1,1,5,1,2,2,5,1,2,2,2,cont-int
32,1,1,2,2,1,2,2,5,1,1,2,5,cont-int
33,1,2,2,5,1,2,2,5,1,1,2,5,cont-int
34,1,2,2,5,1,1,2,5,1,1,2,5,cont-int
35,1,2,2,5,1,1,2,5,1,1,2,5,cont-int
36,1,5,5,5,1,1,2,5,1,2,2,5,cont-int
37,1,2,2,2,1,2,2,5,1,1,2,5,cont-int
38,1,5,5,5,1,1,2,5,1,1,2,5,cont-int
39,1,5,2,2,1,2,2,5,2,1,2,5,test
40,1,2,2,5,1,2,2,5,1,1,2,5,test
41,1,1,1,5,1,2,2,5,1,2,2,5,test
42,1,2,2,5,1,2,2,5,1,2,2,5,test
43,1,2,2,5,1,2,2,5,1,2,2,5,test
44,4,3,5,2,1,2,2,5,1,2,5,5,test
45,1,1,2,1,1,2,1,2,1,1,2,2,test
46,1,2,2,5,1,2,2,5,1,2,2,5,test
47,3,2,2,2,1,2,2,5,1,1,2,4,test
48,1,2,2,5,1,1,2,5,1,1,2,5,test
49,1,2,2,5,1,2,2,5,1,1,2,5,test
50,1,2,5,1,1,2,2,5,1,2,2,5,test
51,1,1,2,5,1,2,2,5,1,2,2,5,test
52,3,2,2,5,1,2,2,2,1,2,2,5,test
53,1,1,2,1,1,1,2,5,1,1,2,1,test
54,1,4,5,2,1,1,2,2,1,2,5,5,test
55,1,5,2,1,1,2,2,5,1,2,2,5,test
56,3,2,2,1,1,1,2,5,2,1,2,5,test